DISTRICT,freq2014,freq2018
South Andaman,NA,0
South Andaman,NA,0.258064516
South Andaman,NA,0.833333333
South Andaman,0.25,0.065217391
South Andaman,0.2,0.212121212
South Andaman,0.625,0.311827957
South Andaman,0,0
South Andaman,0.092783505,0.090062112
South Andaman,0.181818182,0.060869565
South Andaman,0.666666667,NA
South Andaman,1,NA
North & Middle Andaman,NA,0
North & Middle Andaman,0.333333333,NA
North & Middle Andaman,1,0
North & Middle Andaman,1,0.166666667
North & Middle Andaman,0,NA
Nicobar,NA,1
Nicobar,NA,0
Nicobar,0,NA
Nicobar,0.5,0.466666667
Nicobar,0.5,0.3125
