OBJECTID,Population,Name
14,Less,Coringa Wildlife Sanctuary
17,Less,Deepor Beel
18,Less,Pobitora Wildlife Sanctuary
19,Less,Batim Lake
22,Less,Chapora Estuary
23,Less,Curtorim Lake
32,Less,Parvati Lake
33,Less,Argaa Lake
34,Less,Vellode
35,Less,Vedanthangal Bird Sanctuary
36,Less,Udayamarthandapuram Bird Sanctuary
37,Less,Karavetti - vetakudi Sanctuary
38,Less,Keshopur Community Reserve
39,Less,Harike Bird Sanctuary
40,Less,Hirakud Dam
41,Less,Loktak Lake
42,Less,Nandur Madhyameshwar Bird Sanctuary
43,Less,Hatnur Dam
44,Less,Vembanad Lake
45,Less,Upper Kuttanad
46,Less,North Kuttanad
47,Less,Kole Wetland
48,Less,Victor Bherai Salt Pans
49,Less,Vadgam Coast
50,Less,Vadala
51,Less,Tundi Wetland
52,Less,Thol Lake Bird Sanctuary
53,Less,Shil Reservoir
54,Less,Savada Village Pond Nava Talaw
55,Less,Sani Dam
56,Less,Pipalava Bandharo
57,Less,Pariej
58,Less,Nirma Salt Pan
59,Less,New Port Salt Pan
60,Less,Narda Tank
61,Less,Nani Kakrad
62,Less,Nanda Bet
63,Less,Mokarsagar Wetland Complex
64,Less,Medha Creek
65,Less,Kuchadi Wetland
66,Less,Khijadiya Bird Sanctuary
67,Less,Kharaberaja Dam
68,Less,Kaneval Lake
69,Less,Kaj Wetland
70,Less,Kaaj Tidal Regulator
71,Less,Juni Akhol
72,Less,Javar
73,Less,Gosabara
74,Less,Charakla Salt Works
75,Less,Chhaya Creek
76,Less,Gopnath Sea Coast
77,Less,Barda Sagar Dam
78,Less,Flamingo City
79,Less,Gosa Kerti Tidal Regulator
1,More,Kolleru Lake
2,More,Pulicat Lagoon and WLS
3,More,Amipur Dam
4,More,Nal Sarovar
5,More,"Paddy Field L V Road, Limbasi, Kheda"
6,More,Vadhwana Reservoir
7,More,Vadla Wetland
8,More,Pong Dam
9,More,Chilika Lake
10,More,Rajnagar Mangroves
11,More,Muthupet Lagoon
12,More,Point Calimere Sanctuary
