"name","yn"
"Blue Rock Thrush",NA
"Blue-cheeked Bee-Eater",NA
"Blue-faced Malkoha",NA
"Blue-throated Flycatcher",NA
"Blyth’s Swift",NA
"Brook’s Leaf Warbler",1
"Brown Rock Chat",NA
"Brown-breasted Flycatcher",NA
"Chestnut-tailed Starling",NA
"Chinese Rubythroat",NA
"Cinereous Vulture",1
"Clamorous Reed Warbler",NA
"Collared Kingfisher",NA
"Common Cuckoo",NA
"Common Merganser",NA
"Common Raven",NA
"Common Starling",NA
"Crested Lark",NA
"Dark-sided Flycatcher",NA
"Desert wheatear",NA
"Dollarbird",NA
"Dusky Eagle-Owl",1
"Eurasian Crag-Martin",NA
"European Roller",NA
"Forest Owlet",NA
"Fulvous Whistling-Duck",NA
"Golden-headed Cisticola",NA
"Great Indian Bustard",NA
"Green Munia",NA
"Grey-crowned Prinia",NA
"Hair-crested Drongo",NA
"Heart Spotted Woodpecker",NA
"Hill Swallow",NA
"Indian Blackbird",NA
"Indian Blue Robin",NA
"Cachar Bulbul",NA
"Indian Pitta",NA
"Indian Scimitar-Babbler",NA
"Indian Spotted Creeper",NA
"Indian Yellow Tit",NA
"Jerdon’s Babbler",NA
"Jerdon’s Baza",NA
"Jerdon’s Bushlark",NA
"Jerdon’s Leafbird",NA
"Kashmir Flycatcher",NA
"Kashmir Nuthatch",NA
"Koklass Pheasant",NA
"Large-billed Leaf Warbler",NA
"Kashmir Nutcracker",NA
"Lineated Barbet",NA
"Loten’s Sunbird",NA
"Malabar Pied-Hornbill",NA
"Malabar Trogon",NA
"Malabar Lark",NA
"Malabar Parakeet",NA
"Malabar Woodshrike",NA
"Marshall’s Iora",NA
"Naga Wren-Babbler",NA
"Nilgiri Laughingthrush",NA
"Nilgiri Pipit",NA
"Nilgiri Sholakili",NA
"Banasura Laughingthrush",NA
"Orange Bullfinch",NA
"Oriental Dwarf Kingfisher",1
"Painted Bush-Quail",NA
"Pale-billed Flowerpecker",NA
"Pale-capped Pigeon",NA
"Pale-footed Bush Warbler",NA
"Pied Cuckoo",NA
"Pied Thrush",NA
"Purple-rumped Sunbird",NA
"River Lapwing",NA
"Rosy Pipit",NA
"Rufous-fronted Prinia",1
"Rufous-throated Fulvetta",1
"Rufous-vented Grass-Babbler",NA
"Rusty-tailed Flycatcher",NA
"Sand Lark",NA
"Sarus Crane",NA
"Sclater’s Monal",NA
"Sind Sparrow",NA
"Spot-winged Starling",1
"Streaked Weaver",NA
"Sulphur-bellied Warbler",NA
"Tytler’s Leaf Warbler",NA
"Vigor’s Sunbird",NA
"Western-crowned Warbler",NA
"White-bellied Minivet",NA
"White-browed Bulbul",NA
"White-eared Bulbul",NA
"White-naped Tit",NA
"Spot-breasted Fantail",NA
"Yellow-bellied Prinia",NA
"Yellow-billed Babbler",NA
"Yellow-browed Bulbul",NA
"Yellow-browed Warbler",NA
"Yellow-throated Bulbul",NA
"Ashy Woodswallow",NA
"Asian Brown Flycatcher",NA
"Asian Pied Starling",NA
"Bank Myna",NA
"Bar-winged Flycatcher Shrike",NA
"Black Baza",NA
"Black-breasted Weaver",NA
"Black-headed Cuckooshrike",NA
"Black-throated Prinia",NA
